index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
116,3,2,21,1,7,10,3,2,6,2018-03-27T00:00:00,5,4,1800
105,3,2,21,1,6,10,2,2,7,2018-03-16T00:00:00,5,4,1800
352,3,1,21,1,2,20,1,0,0,2018-05-20T00:00:00,5,6,1400
291,3,2,21,1,6,10,2,2,7,2018-03-20T00:00:00,5,7,1400
264,3,2,10,1,6,10,2,2,7,2018-02-21T00:00:00,5,8,1400
156,3,2,21,1,2,20,2,2,6,2018-05-06T00:00:00,6,6,1800
351,3,1,21,1,2,20,1,0,0,2018-05-19T00:00:00,2,5,1400
212,3,2,10,1,5,10,2,0,0,2017-12-31T00:00:00,4,4,1400
146,3,1,21,1,5,10,2,2,7,2018-04-26T00:00:00,4,6,1800
120,3,2,21,1,7,10,3,2,6,2018-03-31T00:00:00,2,7,1800
251,3,2,21,1,6,10,2,1,7,2018-02-08T00:00:00,6,6,1400
412,3,2,21,1,6,10,2,2,7,2018-01-18T00:00:00,2,6,1400
118,3,2,21,1,6,10,2,2,7,2018-03-29T00:00:00,5,4,1800
197,3,2,10,1,7,10,2,0,0,2017-12-16T00:00:00,5,8,1400
262,3,2,10,1,6,10,2,2,7,2018-02-19T00:00:00,4,3,1400
176,3,1,21,1,2,20,1,0,0,2018-05-26T00:00:00,2,0,1800
64,3,2,21,2,6,10,2,2,7,2018-02-03T00:00:00,4,3,1800
33,3,2,21,1,5,10,2,1,7,2018-01-03T00:00:00,5,4,1800
468,3,2,21,2,7,10,2,2,6,2018-03-15T00:00:00,6,3,1400
435,3,1,10,2,7,10,3,2,5,2018-02-10T00:00:00,5,5,1400
267,3,2,10,1,6,10,2,2,7,2018-02-24T00:00:00,2,6,1400
178,3,1,21,1,2,20,1,0,0,2018-05-28T00:00:00,5,4,1800
265,3,2,21,1,6,10,2,2,7,2018-02-22T00:00:00,2,0,1400
458,3,2,21,1,6,10,2,0,0,2018-03-05T00:00:00,5,3,1400
221,3,2,21,1,6,10,2,1,7,2018-01-09T00:00:00,5,3,1400
132,3,2,21,1,7,10,3,3,2,2018-04-12T00:00:00,5,4,1800
268,3,2,10,1,6,10,2,2,7,2018-02-25T00:00:00,4,2,1400
472,3,2,21,1,6,10,2,2,7,2018-03-19T00:00:00,6,1,1400
73,3,1,21,1,6,10,2,2,7,2018-02-12T00:00:00,5,4,1800
246,3,2,21,1,6,10,2,1,7,2018-02-03T00:00:00,4,3,1400
209,3,2,21,1,6,10,2,1,7,2017-12-28T00:00:00,4,3,1400
2,3,2,10,1,6,10,2,0,0,2017-12-03T00:00:00,6,7,1800
225,3,2,10,1,7,10,3,2,6,2018-01-13T00:00:00,5,4,1400
426,3,2,21,1,6,10,2,2,7,2018-02-01T00:00:00,6,2,1400
324,3,2,22,1,2,20,2,1,7,2018-04-22T00:00:00,4,4,1400
238,3,2,21,1,6,10,3,2,7,2018-01-26T00:00:00,4,8,1400
346,3,2,21,1,2,20,1,0,0,2018-05-14T00:00:00,4,5,1400
452,3,2,10,1,6,10,2,2,7,2018-02-27T00:00:00,7,3,1400
215,3,2,21,1,5,10,2,0,0,2018-01-03T00:00:00,5,3,1400
423,3,3,21,1,6,10,2,1,7,2018-01-29T00:00:00,4,4,1400
37,3,2,22,1,6,10,3,2,7,2018-01-07T00:00:00,9,7,1800
190,3,2,21,1,6,10,2,0,0,2017-12-09T00:00:00,7,8,1400
277,3,2,21,1,6,10,2,2,7,2018-03-06T00:00:00,4,4,1400
333,3,2,22,2,2,20,2,2,5,2018-05-01T00:00:00,6,4,1400
247,3,2,21,1,6,10,2,1,7,2018-02-04T00:00:00,5,8,1400
217,3,2,21,1,5,10,2,3,6,2018-01-05T00:00:00,5,2,1400
205,3,2,21,1,7,10,2,0,0,2017-12-24T00:00:00,7,7,1400
179,3,1,21,1,2,20,1,0,0,2018-05-29T00:00:00,2,5,1800
477,3,1,21,1,6,10,2,1,7,2018-03-24T00:00:00,6,6,1400
529,3,2,21,1,2,20,1,0,0,2018-05-15T00:00:00,4,5,1400
513,3,2,21,1,2,20,1,0,0,2018-04-29T00:00:00,2,8,1400
255,3,2,21,1,6,10,2,1,7,2018-02-12T00:00:00,4,3,1400
237,3,2,21,1,5,10,3,2,7,2018-01-25T00:00:00,9,7,1400
292,3,1,21,1,6,10,2,2,7,2018-03-21T00:00:00,6,7,1400
337,3,1,21,1,6,10,2,1,2,2018-05-05T00:00:00,4,6,1400
305,2,2,10,1,7,10,3,0,0,2018-04-03T00:00:00,4,4,1400
155,3,2,21,1,5,10,2,2,2,2018-05-05T00:00:00,4,7,1800
294,3,1,21,1,6,10,2,2,7,2018-03-23T00:00:00,4,5,1400
460,3,2,21,1,6,10,2,0,0,2018-03-07T00:00:00,4,3,1400
112,3,2,21,1,7,10,3,2,6,2018-03-23T00:00:00,5,6,1800
376,3,2,21,1,5,10,1,0,0,2017-12-13T00:00:00,5,5,1400
95,3,2,21,2,7,10,2,2,7,2018-03-06T00:00:00,4,4,1800
331,3,2,21,1,2,20,1,0,0,2018-04-29T00:00:00,4,8,1400
161,3,2,22,1,2,20,2,1,4,2018-05-11T00:00:00,4,2,1800
21,3,2,21,1,6,10,2,2,7,2017-12-22T00:00:00,8,8,1800
174,3,1,21,1,2,20,1,0,0,2018-05-24T00:00:00,4,6,1800
391,3,2,21,1,6,10,2,0,0,2017-12-28T00:00:00,4,3,1400
304,2,2,10,2,7,10,3,1,2,2018-04-02T00:00:00,4,7,1400
147,3,1,21,1,6,10,2,2,7,2018-04-27T00:00:00,4,7,1800
165,3,1,22,1,2,20,2,0,0,2018-05-15T00:00:00,4,6,1800
302,2,2,10,1,7,10,3,2,2,2018-03-31T00:00:00,2,6,1400
32,3,2,21,1,5,10,2,1,7,2018-01-02T00:00:00,6,8,1800
104,3,2,10,2,7,10,3,2,6,2018-03-15T00:00:00,5,4,1800
136,3,2,21,1,7,10,3,3,2,2018-04-16T00:00:00,2,3,1800
419,3,2,21,1,5,10,3,3,7,2018-01-25T00:00:00,8,7,1400
355,3,1,21,1,2,20,1,0,0,2018-05-23T00:00:00,4,6,1400
62,3,2,21,1,6,10,2,1,7,2018-02-01T00:00:00,5,3,1800
457,3,2,21,1,6,10,2,0,0,2018-03-04T00:00:00,4,4,1400
53,3,2,21,1,7,10,3,3,5,2018-01-23T00:00:00,6,5,1800
360,3,1,21,1,2,20,1,0,0,2018-05-28T00:00:00,5,4,1400
154,3,2,21,1,5,10,2,2,2,2018-05-04T00:00:00,5,6,1800
125,3,3,21,1,7,10,2,3,5,2018-04-05T00:00:00,5,7,1800
248,3,2,21,1,6,10,2,1,7,2018-02-05T00:00:00,4,7,1400
54,3,2,21,2,7,10,2,3,5,2018-01-24T00:00:00,6,6,1800
